host_since,neighbourhood,city,accommodates,price
2016-05-31,Opera,Paris,2,100
2012-05-09,Popincourt,Paris,2,100
2011-06-30,Popincourt,Paris,2,110
2018-07-19,Palais-Bourbon,Paris,2,70
2014-08-04,Buttes-Montmartre,Paris,2,125
2016-03-15,Observatoire,Paris,2,49
2018-09-05,Popincourt,Paris,2,100
2016-03-16,Popincourt,Paris,2,90
2015-09-16,Temple,Paris,2,77
2013-01-21,Buttes-Montmartre,Paris,2,100
2015-12-04,Vaugirard,Paris,2,50
2015-06-29,Batignolles-Monceau,Paris,2,66
2015-09-27,Buttes-Montmartre,Paris,2,80
2014-05-02,Popincourt,Paris,2,51
2012-05-10,Popincourt,Paris,2,65
2019-03-03,Popincourt,Paris,2,90
2016-06-10,Popincourt,Paris,2,70
2019-03-16,Gobelins,Paris,2,120
2012-04-28,Menilmontant,Paris,2,80
2015-10-27,Gobelins,Paris,2,80
2014-01-05,Buttes-Chaumont,Paris,2,50
2013-07-01,Buttes-Chaumont,Paris,2,100
2014-06-13,Buttes-Chaumont,Paris,2,130
2013-03-22,Palais-Bourbon,Paris,2,109
2013-10-10,Hotel-de-Ville,Paris,2,120
2014-06-06,Vaugirard,Paris,2,56
2014-09-15,Menilmontant,Paris,2,68
2015-09-19,Passy,Paris,2,90
2014-05-30,Elysee,Paris,2,100
2013-11-24,Enclos-St-Laurent,Paris,2,73
2015-09-28,Passy,Paris,2,117
2014-04-25,Gobelins,Paris,2,59
2013-09-04,Buttes-Montmartre,Paris,2,79
2015-09-26,Enclos-St-Laurent,Paris,2,70
2016-07-21,Menilmontant,Paris,2,70
2013-06-17,Buttes-Chaumont,Paris,2,55
2015-02-24,Buttes-Montmartre,Paris,2,75
2017-12-29,Elysee,Paris,2,85
2011-06-28,Buttes-Chaumont,Paris,2,60
2013-06-30,Palais-Bourbon,Paris,2,110
2013-07-01,Gobelins,Paris,2,68
2013-03-23,Louvre,Paris,2,110
2014-07-26,Opera,Paris,2,85
2015-01-04,Vaugirard,Paris,2,79
2012-12-17,Louvre,Paris,2,49
2015-02-04,Gobelins,Paris,2,55
2015-06-28,Vaugirard,Paris,2,80
2015-07-06,Popincourt,Paris,2,60
2015-07-15,Popincourt,Paris,2,45
2014-01-27,Reuilly,Paris,2,60
2015-11-23,Popincourt,Paris,2,59
2014-03-11,Vaugirard,Paris,2,121
2015-09-14,Buttes-Chaumont,Paris,2,55
2012-10-29,Buttes-Montmartre,Paris,2,60
2016-08-03,Menilmontant,Paris,2,65
2013-04-18,Palais-Bourbon,Paris,2,37
2015-11-04,Enclos-St-Laurent,Paris,2,150
2015-01-13,Popincourt,Paris,2,70
2015-02-02,Hotel-de-Ville,Paris,2,105
2016-07-29,Batignolles-Monceau,Paris,2,80
2013-06-22,Buttes-Chaumont,Paris,2,60
2016-10-16,Bourse,Paris,2,100
2015-05-27,Buttes-Montmartre,Paris,2,100
2016-05-22,Passy,Paris,2,115
2016-01-22,Buttes-Chaumont,Paris,2,59
2018-02-14,Buttes-Montmartre,Paris,2,90
2016-08-25,Buttes-Montmartre,Paris,2,55
2013-07-04,Popincourt,Paris,2,70
2013-08-22,Hotel-de-Ville,Paris,2,150
2014-08-28,Popincourt,Paris,2,55
2015-03-31,Reuilly,Paris,2,80
2015-05-17,Temple,Paris,2,103
2015-01-22,Buttes-Montmartre,Paris,2,61
2016-06-28,Batignolles-Monceau,Paris,2,90
2014-11-14,Reuilly,Paris,2,90
2013-03-24,Menilmontant,Paris,2,85
2014-02-12,Hotel-de-Ville,Paris,2,120
2018-05-01,Temple,Paris,2,140
2012-12-30,Observatoire,Paris,2,115
2013-02-13,Buttes-Montmartre,Paris,2,70
2016-01-26,Batignolles-Monceau,Paris,2,70
2015-03-29,Buttes-Montmartre,Paris,2,75
2017-07-31,Buttes-Chaumont,Paris,2,75
2014-10-17,Opera,Paris,2,122
2015-06-28,Temple,Paris,2,100
2019-01-31,Popincourt,Paris,2,140
2017-02-15,Buttes-Montmartre,Paris,2,65
2019-04-01,Passy,Paris,2,140
2013-12-12,Batignolles-Monceau,Paris,2,150
2014-04-05,Batignolles-Monceau,Paris,2,100
2015-08-24,Popincourt,Paris,2,110
2014-08-16,Louvre,Paris,2,153
2014-05-14,Enclos-St-Laurent,Paris,2,90
2015-03-15,Temple,Paris,2,100
2016-09-26,Buttes-Montmartre,Paris,2,46
2015-04-30,Vaugirard,Paris,2,40
2018-04-23,Bourse,Paris,2,60
2015-10-07,Pantheon,Paris,2,80
2013-08-07,Menilmontant,Paris,2,80
2013-02-28,Buttes-Montmartre,Paris,2,100
2014-07-06,Popincourt,Paris,2,90
2012-11-19,Louvre,Paris,2,120
2012-08-01,Enclos-St-Laurent,Paris,2,90
2014-11-12,Popincourt,Paris,2,55
2013-07-17,Popincourt,Paris,2,85
2014-03-02,Opera,Paris,2,53
2013-12-04,Temple,Paris,2,220
2013-09-05,Buttes-Montmartre,Paris,2,119
2020-06-08,Popincourt,Paris,2,90
2013-01-22,Luxembourg,Paris,2,90
2015-04-10,Passy,Paris,2,75
2011-03-25,Gobelins,Paris,2,69
2015-04-29,Observatoire,Paris,2,99
2013-05-14,Luxembourg,Paris,2,159
2014-11-11,Buttes-Montmartre,Paris,2,80
2014-03-27,Observatoire,Paris,2,60
2014-08-03,Buttes-Montmartre,Paris,2,50
2015-07-21,Reuilly,Paris,2,65
2014-08-05,Enclos-St-Laurent,Paris,2,45
2012-03-01,Popincourt,Paris,2,115
2014-06-22,Pantheon,Paris,2,60
2015-08-05,Enclos-St-Laurent,Paris,2,41
2013-09-25,Enclos-St-Laurent,Paris,2,125
2012-09-18,Buttes-Montmartre,Paris,2,100
2015-09-17,Enclos-St-Laurent,Paris,2,73
2015-07-30,Vaugirard,Paris,2,69
2016-03-15,Vaugirard,Paris,2,115
2014-10-21,Luxembourg,Paris,2,90
2013-04-08,Reuilly,Paris,2,57
2015-07-21,Vaugirard,Paris,2,60
2016-04-08,Menilmontant,Paris,2,48
2014-01-31,Pantheon,Paris,2,75
2015-05-17,Vaugirard,Paris,2,90
2016-05-09,Passy,Paris,2,80
2016-05-31,Menilmontant,Paris,2,50
2013-08-07,Reuilly,Paris,2,80
2015-05-06,Popincourt,Paris,2,80
2014-07-28,Buttes-Montmartre,Paris,2,110
2013-10-30,Popincourt,Paris,2,65
2015-07-24,Buttes-Montmartre,Paris,2,85
2015-03-01,Pantheon,Paris,2,90
2016-06-14,Luxembourg,Paris,2,102
2016-10-04,Buttes-Montmartre,Paris,2,44
2014-03-20,Observatoire,Paris,2,88
2016-10-02,Palais-Bourbon,Paris,2,40
2013-05-06,Enclos-St-Laurent,Paris,2,90
